,0,normalised,cleaned,threshold
0,24355797928.0,0.0,0j,0.0
1,1142812276.977676,0.1344042933575934,0j,0.0
2,1015809713.1287302,0.11946772836560424,0j,0.0
3,1102680641.79988,0.1296844770097841,0j,0.0
4,575391635.4065523,0.06767087448973773,0j,0.0
5,637177286.9511516,0.07493738448685826,0j,0.0
6,252236149.10202664,0.02966508328818094,0j,0.0
7,282905658.4418975,0.03327207440429929,0j,0.0
8,688730871.7126622,0.08100051774987009,0j,0.0
9,572241869.1896192,0.0673004356073798,0j,0.0
10,2583122188.421523,0.3037967996889983,(837341411.9652299-2443640644.6373563j),0.3037967996889983
11,652578616.2292737,0.07674870977631702,0j,0.0
12,713424562.1460388,0.08390470252277656,0j,0.0
13,507289410.2365407,0.059661482541077435,0j,0.0
14,489830498.9090572,0.05760816837300682,0j,0.0
15,294288988.9393362,0.03461084939157051,0j,0.0
16,492296129.9731987,0.05789814723264323,0j,0.0
17,327727465.7255006,0.038543494265918944,0j,0.0
18,469000100.0301256,0.055158339037007925,0j,0.0
19,598929874.0337121,0.07043916845480827,0j,0.0
20,2007478798.5872307,0.23609631677043838,0j,0.0
21,329942569.0836029,0.038804008969477374,0j,0.0
22,493193824.1393457,0.05800372358361778,0j,0.0
23,204139456.0716735,0.024008509439781535,0j,0.0
24,392678702.2496861,0.04618230356434722,0j,0.0
25,110268510.62009941,0.012968500206073876,0j,0.0
26,392432823.3771379,0.046153386150015796,0j,0.0
27,513941527.3234754,0.060443827213437745,0j,0.0
28,288779715.9159839,0.03396291275093869,0j,0.0
29,404319134.94165206,0.04755131592259552,0j,0.0
30,566420277.9682313,0.06661576773139523,0j,0.0
31,22340613.342029706,0.0026274432029656796,0j,0.0
32,65437167.48309127,0.00769595884824326,0j,0.0
33,313634499.25302625,0.03688604339826242,0j,0.0
34,225002224.36377147,0.026462145689821054,0j,0.0
35,234213257.5995919,0.027545440328926456,0j,0.0
36,143963966.82570684,0.016931368012021386,0j,0.0
37,261738997.40243056,0.030782697822457725,0j,0.0
38,297838644.22456425,0.03502831857691725,0j,0.0
39,366427594.5504411,0.043094953479605326,0j,0.0
40,285202049.0050695,0.03354214916384985,0j,0.0
41,263378550.84932065,0.030975523036966313,0j,0.0
42,386768279.075636,0.04548718830687606,0j,0.0
43,715464193.6356246,0.08414458026524593,0j,0.0
44,180730311.13791457,0.021255397974048813,0j,0.0
45,317123492.99142903,0.03729637827773997,0j,0.0
46,87870027.68811776,0.010334251054746358,0j,0.0
47,212835639.96358418,0.02503125348484115,0j,0.0
48,259548745.1769303,0.030525105820189614,0j,0.0
49,160990509.17091197,0.018933831967241164,0j,0.0
50,285616157.467069,0.033590851786607485,0j,0.0
51,158811297.84284213,0.018677538466964207,0j,0.0
52,366381207.8404398,0.043089498014080053,0j,0.0
53,520714679.06576043,0.06124040657477703,0j,0.0
54,176201637.21192905,0.020722787998525307,0j,0.0
55,435759536.3364615,0.051248970399605485,0j,0.0
56,95690140.54237339,0.011253961809808007,0j,0.0
57,722544099.8681207,0.0849772365233089,0j,0.0
58,104306406.35088307,0.012267306819048364,0j,0.0
59,101952379.94783388,0.011990453602102111,0j,0.0
60,335031942.16175705,0.03940256186043116,0j,0.0
61,140580308.21399584,0.016533421425489192,0j,0.0
62,200045125.1058508,0.023526981833437603,0j,0.0
63,213008036.23661992,0.02505152873014752,0j,0.0
