,intraday,overnight,monthly,seasonal,longterm
96,0j,0j,0j,(-710982.0934287282-910375.6151603553j),0j
97,0j,0j,0j,(1833745.5000578123+3465377.3811312253j),0j
98,0j,0j,0j,(215830.86144702835+1709704.4673880734j),0j
99,0j,0j,0j,(1755352.2709638858+1925486.0549327491j),0j
100,0j,0j,0j,(1595604.1718388088-1775311.7292023452j),0j
101,0j,0j,0j,(1813921.5058030467-1052874.4827046813j),0j
102,0j,0j,0j,(-1079674.0752474514-688806.8293101817j),0j
103,0j,0j,0j,(-742172.7342565798+83744.30761538533j),0j
104,0j,0j,0j,(5443656.783345289+1236560.819803652j),0j
105,0j,0j,0j,(-2432899.676886469+6473528.42009747j),0j
106,0j,0j,0j,(-1489.74737355682-1352197.8945508746j),0j
107,0j,0j,0j,(-873927.9866276593-1891734.693822887j),0j
108,0j,0j,0j,(-1205622.4778930193-3170625.1499341335j),0j
109,0j,0j,0j,(840706.1482393641+3020364.188128246j),0j
110,0j,0j,0j,(873673.5582169814+222292.85672736197j),0j
111,0j,0j,0j,(1781978.1134132664-165374.60693964933j),0j
112,0j,0j,0j,(-1239904.3736378471+1490696.8899310012j),0j
113,0j,0j,0j,(-202897.65177032867+1200215.1164457619j),0j
114,0j,0j,0j,(907352.9427538794-2145086.6371107916j),0j
115,0j,0j,0j,(2568087.145709676+2944451.1451894334j),0j
116,0j,0j,0j,(-3236662.4327303064-515048.3696857942j),0j
117,0j,0j,0j,(-47032.62071799184-5266401.895247492j),0j
118,0j,0j,0j,(2133657.0892668026+266176.4815223672j),0j
119,0j,0j,0j,(-654890.7142888955+4010016.9836390913j),0j
120,0j,0j,0j,(-495662.7139377952-1014716.3558589875j),0j
121,0j,0j,0j,(-540143.1016879398-527589.7539226064j),0j
122,0j,0j,(328105.4214595441+323798.3926467353j),0j,0j
123,0j,0j,(1353036.4795856657+1922236.236766121j),0j,0j
124,0j,0j,(726697.6410127827+676619.0772023869j),0j,0j
125,0j,0j,(-769550.9212303328-1417666.1120464525j),0j,0j
126,0j,0j,(1965708.7015366186-38977.333500013105j),0j,0j
127,0j,0j,(2000030.6783461114+545676.155769671j),0j,0j
128,0j,0j,(2412388.9379653367-656590.6388878613j),0j,0j
129,0j,0j,(803233.0386961044+4145868.2332519568j),0j,0j
130,0j,0j,(-6283538.822253763-3572189.3949936954j),0j,0j
131,0j,0j,(-294822.3209187578-2705115.475558848j),0j,0j
132,0j,0j,(-1190906.3886758387-1232370.3988340246j),0j,0j
133,0j,0j,(-2775204.244360279+4799468.32618466j),0j,0j
134,0j,0j,(88174.56623652641-1423501.1478955578j),0j,0j
135,0j,0j,(2573859.390618448+1766198.291030671j),0j,0j
136,0j,0j,(1703212.2584910938+2954979.555875293j),0j,0j
137,0j,0j,(1254935.22277617-2895427.755341151j),0j,0j
138,0j,0j,(-3707896.335486653+1481267.525640828j),0j,0j
139,0j,0j,(557298.769986203-1645495.3360683548j),0j,0j
140,0j,0j,(1718600.9128830396-1324971.9539842699j),0j,0j
141,0j,0j,(-955562.8959945405+2186626.612051803j),0j,0j
142,0j,0j,(-1967955.5217406345-1842913.063132854j),0j,0j
143,0j,0j,(1698126.6928181364+2749414.3419551067j),0j,0j
144,0j,0j,(3287473.7847712655-2072217.8333924063j),0j,0j
145,0j,0j,(2815614.116936511-142133.0835085567j),0j,0j
146,0j,0j,(3495373.6813030094+1445560.239600351j),0j,0j
147,0j,0j,(-4075253.866291741+834132.1259592636j),0j,0j
148,0j,0j,(-759032.8059015808+1640958.083079384j),0j,0j
149,0j,0j,(911416.5677580012+3055597.8157429546j),0j,0j
150,0j,0j,(311331.808083753-7602646.608895831j),0j,0j
151,0j,0j,(573100.5921590263+2877642.869793092j),0j,0j
152,0j,0j,(1769442.072054213+1851389.948896344j),0j,0j
153,0j,0j,(-3299692.884513779+2514024.952132527j),0j,0j
154,0j,0j,(4289101.366232103-2043923.7381662522j),0j,0j
155,0j,0j,(993519.6582223907-2866575.246612237j),0j,0j
156,0j,0j,(1372253.062387744-3547555.2794660702j),0j,0j
157,0j,0j,(-3936503.104982521-3502126.331906505j),0j,0j
158,0j,0j,(-4769484.148223231+4451328.6785707725j),0j,0j
159,0j,0j,(-560545.6501312135-610723.4022636266j),0j,0j
160,0j,0j,(3682416.2333944133+2065341.743222146j),0j,0j
161,0j,0j,(248377.6694255282-2553751.0692244526j),0j,0j
162,0j,0j,(532890.1718830683-1533626.242165915j),0j,0j
163,0j,0j,(-1512237.9963126779-3284032.80429888j),0j,0j
164,0j,0j,(1617092.466307594-390132.1012232844j),0j,0j
165,0j,0j,(-2245878.199931585-810336.0466667585j),0j,0j
166,0j,0j,(1702029.0682886008+3627403.6094005383j),0j,0j
167,0j,0j,(-504242.1728674731+1313613.5433745123j),0j,0j
168,0j,0j,(1434281.7580522916+1457535.716068258j),0j,0j
169,0j,0j,(-534740.6191976755+4562045.897360212j),0j,0j
170,0j,0j,(964566.6159501233+761641.8578236236j),0j,0j
171,0j,0j,(1531022.1485944963+2172716.0975993806j),0j,0j
172,0j,0j,(-1070313.6402738811+583748.9559948578j),0j,0j
173,0j,0j,(1396747.1497515496+438779.16800201463j),0j,0j
174,0j,0j,(-710492.3902354866+3006122.185446658j),0j,0j
175,0j,0j,(1259165.6884860676-840137.0315575054j),0j,0j
176,0j,0j,(-3072618.9703529794-2076870.2214345413j),0j,0j
177,0j,0j,(-3290660.9967817133-2123702.7440823643j),0j,0j
178,0j,0j,(-268186.6558400361+546326.7834559737j),0j,0j
179,0j,0j,(1705856.7113690814+8395808.10693793j),0j,0j
180,0j,0j,(4141001.0129649527-299734.97040986764j),0j,0j
181,0j,0j,(-632930.7000802592-1062451.338614948j),0j,0j
182,0j,0j,(3061263.9337097397-4196877.871352831j),0j,0j
183,0j,0j,(-3654153.7624419397+706853.1954127788j),0j,0j
184,0j,0j,(2470218.7251768066+3009569.425868409j),0j,0j
185,0j,0j,(5236501.146139-1535621.767127386j),0j,0j
186,0j,0j,(2150456.5107510374-1044040.8986586556j),0j,0j
187,0j,0j,(-2129986.0869983267+2056419.6547468232j),0j,0j
188,0j,0j,(1075849.02043602+4797565.812701803j),0j,0j
189,0j,0j,(1606891.4260417467+3727592.6647063573j),0j,0j
190,0j,0j,(8146.7878002765065+3725786.9837518744j),0j,0j
191,0j,0j,(-122177.8054551977-3899891.378466204j),0j,0j
192,0j,0j,(1534026.9051139813-880908.4436716553j),0j,0j
193,0j,0j,(-5696238.137647646+1903543.6404398088j),0j,0j
194,0j,0j,(2900129.054153173+1817014.1212640605j),0j,0j
195,0j,0j,(-5047128.9478819035+657136.7416582351j),0j,0j
