,intraday,overnight,monthly,seasonal,longterm
6595,(-633139.9641063903+2756395.950422632j),0j,0j,0j,0j
6596,(-1554094.405876522-7896.653409191058j),0j,0j,0j,0j
6597,(-471450.52139427484+587412.9491372576j),0j,0j,0j,0j
6598,(634905.5464690813-1641658.1857281174j),0j,0j,0j,0j
6599,(-3916099.7515575634+1277684.3682602867j),0j,0j,0j,0j
6600,(-120119.6422492071-1345041.5095736764j),0j,0j,0j,0j
6601,(605071.8660324614-416382.91480577044j),0j,0j,0j,0j
6602,(-359446.2969633222-1588077.290014421j),0j,0j,0j,0j
6603,(-3338684.9105468867-1147064.2170518094j),0j,0j,0j,0j
6604,(461559.705526097-3248331.115288013j),0j,0j,0j,0j
6605,(-2013013.9308282551-636149.3262540583j),0j,0j,0j,0j
6606,(-792961.8080511776+714554.1088583417j),0j,0j,0j,0j
6607,(1076567.7361879582+112337.1175024726j),0j,0j,0j,0j
6608,(2763501.208265128+574695.1353095121j),0j,0j,0j,0j
6609,(914243.3511239515-464349.8448716487j),0j,0j,0j,0j
6610,(1608952.7691745418+2122664.7732663667j),0j,0j,0j,0j
6611,(709562.6183782107-2600460.623324562j),0j,0j,0j,0j
6612,(-475534.27681480185-1107252.6216136569j),0j,0j,0j,0j
6613,(-564641.6779235799-1586658.5274966373j),0j,0j,0j,0j
6614,(2316041.4373046723+353141.2765929053j),0j,0j,0j,0j
6615,(-196761.84691598587+120177.42928062787j),0j,0j,0j,0j
6616,(1753645.579126431-881842.018360853j),0j,0j,0j,0j
6617,(-473760.75806059473-1012460.7604368362j),0j,0j,0j,0j
6618,(-1118095.3403695878-1624821.2019896j),0j,0j,0j,0j
6619,(-1915442.514423355-144203.50372606853j),0j,0j,0j,0j
6620,(236611.42247217096+334787.2183189211j),0j,0j,0j,0j
6621,(-1471821.3607297768-1593205.6189614274j),0j,0j,0j,0j
6622,(-1938617.0278702495+2771935.1645663576j),0j,0j,0j,0j
6623,(3497683.5032216655-666127.2361171546j),0j,0j,0j,0j
6624,(552898.5360847254-3350531.9426541007j),0j,0j,0j,0j
6625,(1233039.4961878755-2275015.8025887404j),0j,0j,0j,0j
6626,(210895.37660492142+1918989.8685002779j),0j,0j,0j,0j
6627,(1037458.4129623917+717693.2119954709j),0j,0j,0j,0j
6628,(-977779.0031871848-564029.9533758655j),0j,0j,0j,0j
6629,(1413934.5878102197+573346.8745411276j),0j,0j,0j,0j
6630,(723276.5486051334-1372209.0919513614j),0j,0j,0j,0j
6631,(-387041.8421314027+2507428.260329595j),0j,0j,0j,0j
6632,(1127582.1256418226-1303750.8871501042j),0j,0j,0j,0j
6633,(2170015.7456003046+627124.7809322485j),0j,0j,0j,0j
6634,(-721783.3945277652+784737.2637316138j),0j,0j,0j,0j
6635,(-168381.89387078257+589474.5131144096j),0j,0j,0j,0j
6636,(-1897971.9299942905+423462.005232486j),0j,0j,0j,0j
6637,(932720.0995975282-355145.1833968048j),0j,0j,0j,0j
6638,(307180.9043057846-2889820.513155979j),0j,0j,0j,0j
6639,(-331587.6621717477-1631247.659471726j),0j,0j,0j,0j
6640,(-359461.52480311366-117981.40732639458j),0j,0j,0j,0j
6641,(133467.24302779743+3744290.5565701844j),0j,0j,0j,0j
6642,(-591854.287396457-296618.769345614j),0j,0j,0j,0j
6643,(-614758.9539038262+1398901.182474908j),0j,0j,0j,0j
6644,(1081635.5415491771+703545.2838178261j),0j,0j,0j,0j
6645,(1375885.6654718611-1462152.8359714146j),0j,0j,0j,0j
6646,(-282247.6861440118-3500573.0418204786j),0j,0j,0j,0j
6647,(1832495.0378294368+1362122.6631465438j),0j,0j,0j,0j
6648,(114580.6280057116+603283.2608296914j),0j,0j,0j,0j
6649,(-503785.0138124807-858573.9650007235j),0j,0j,0j,0j
6650,(-557910.0579984331+1348912.7406789693j),0j,0j,0j,0j
6651,(1538851.567148406+81927.38815610844j),0j,0j,0j,0j
6652,(2829815.4366585216-713826.7707429219j),0j,0j,0j,0j
6653,(3351399.6464796-2588824.0831522373j),0j,0j,0j,0j
6654,(939741.3901478685-1274396.9165358886j),0j,0j,0j,0j
6655,(1251658.4272593153+787272.0095731517j),0j,0j,0j,0j
6656,(-3399396.360039085-494876.190439879j),0j,0j,0j,0j
6657,(369292.8183225567+1978610.472851152j),0j,0j,0j,0j
6658,(407214.9386078593+325731.046682108j),0j,0j,0j,0j
6659,(1628258.68601886-1078712.6821797283j),0j,0j,0j,0j
6660,(-485357.84158951236+620369.9951052337j),0j,0j,0j,0j
6661,(-146273.48778878312+2409791.070830872j),0j,0j,0j,0j
6662,(1385666.8046830022-374319.9511717602j),0j,0j,0j,0j
6663,(-2675614.8262900673+818269.4100488591j),0j,0j,0j,0j
6664,(-1134422.5591478704+1313760.8599166055j),0j,0j,0j,0j
6665,(-1713419.230391076+697694.8852786166j),0j,0j,0j,0j
6666,(1417932.280452905+1501826.4405270477j),0j,0j,0j,0j
6667,(-1468698.0778845516+1458698.0445772605j),0j,0j,0j,0j
6668,(637936.0286820957+2253363.322417506j),0j,0j,0j,0j
6669,(-516418.6194573167+2500028.2255100235j),0j,0j,0j,0j
6670,(-257023.18233259924-2018086.5093615653j),0j,0j,0j,0j
6671,(-3687529.774620179-1827882.859214956j),0j,0j,0j,0j
6672,(348615.8266529197+109346.56287796848j),0j,0j,0j,0j
6673,(-3520630.077053874+639212.8968029753j),0j,0j,0j,0j
6674,(-1951632.0957654433+824946.972389245j),0j,0j,0j,0j
6675,(1068242.7601012667-1889261.7638331344j),0j,0j,0j,0j
6676,(-2225765.1554015037-699944.0901667824j),0j,0j,0j,0j
6677,(596110.334603656-289378.83062434604j),0j,0j,0j,0j
6678,(-3816539.46948881+193535.59637714957j),0j,0j,0j,0j
6679,(-396784.83208036877-1635363.4073948467j),0j,0j,0j,0j
6680,(-2217825.446289916-733429.9964516055j),0j,0j,0j,0j
6681,(2224846.7206700947-521202.53733118536j),0j,0j,0j,0j
6682,(-964092.1659885676+3027690.148022647j),0j,0j,0j,0j
6683,(-342479.2091470413-1234363.9512952094j),0j,0j,0j,0j
6684,(-1005626.8270606857+1272924.783435563j),0j,0j,0j,0j
6685,(-1507922.1124857818-2483053.0435966924j),0j,0j,0j,0j
6686,(778045.7699683437+23973.512101710483j),0j,0j,0j,0j
6687,(-1387301.0486260592-153065.733082215j),0j,0j,0j,0j
6688,(528362.2037024444+201383.16037511287j),0j,0j,0j,0j
6689,(415436.33689110656+1085809.9950023347j),0j,0j,0j,0j
6690,(-13345.217782577383+392466.37869984074j),0j,0j,0j,0j
6691,(494028.3357794038+390573.2089366447j),0j,0j,0j,0j
6692,(1252222.9980566138-1044417.181302708j),0j,0j,0j,0j
6693,(1023127.273545722-296381.74761407665j),0j,0j,0j,0j
6694,(3268524.4090742166-1522359.4507798848j),0j,0j,0j,0j
6695,(1006545.1396707734-1337945.2310814038j),0j,0j,0j,0j
6696,(1431873.6879533455+322411.5430340398j),0j,0j,0j,0j
6697,(-951821.4176181362-1190951.9011655587j),0j,0j,0j,0j
6698,(-2194183.3888694625+1972467.5097240359j),0j,0j,0j,0j
6699,(1024769.6525234064+1357770.2820010304j),0j,0j,0j,0j
6700,(1881440.1463797335+504392.4610083903j),0j,0j,0j,0j
6701,(-120925.75165562931+2227283.9042630075j),0j,0j,0j,0j
6702,(2145366.094939997+33704.157239453576j),0j,0j,0j,0j
6703,(1021717.2159586146-70424.01372258208j),0j,0j,0j,0j
6704,(1790982.634120765-1370406.038284989j),0j,0j,0j,0j
6705,(-190910.5734207646-199083.97828079038j),0j,0j,0j,0j
6706,(-621613.927060301-480759.68111295113j),0j,0j,0j,0j
6707,(-1233873.9821316204+3427223.501049401j),0j,0j,0j,0j
6708,(155326.27654226212+444572.7813944301j),0j,0j,0j,0j
6709,(1005930.2498189573+494124.50651353307j),0j,0j,0j,0j
6710,(273259.02546682494+1238920.3500033189j),0j,0j,0j,0j
6711,(-416875.64970010734-866945.7269708691j),0j,0j,0j,0j
6712,(1416915.279445241+2005968.564357524j),0j,0j,0j,0j
6713,(601581.0428859815+1170300.6621630439j),0j,0j,0j,0j
6714,(-916929.9843295943+2587368.2020953144j),0j,0j,0j,0j
6715,(-923176.2083832577-637202.0719062644j),0j,0j,0j,0j
6716,(1682696.9427779452-3071180.082273027j),0j,0j,0j,0j
6717,(-839108.8483341906+884622.2870730348j),0j,0j,0j,0j
6718,(-90742.92415837006-1048895.0046070174j),0j,0j,0j,0j
6719,(-112163.61197553831+1521480.9502462998j),0j,0j,0j,0j
6720,(-657262.8750298033-727200.6243048998j),0j,0j,0j,0j
6721,(-1578582.017189907+2276042.5960508385j),0j,0j,0j,0j
6722,(1754905.5015941595-267935.4495974176j),0j,0j,0j,0j
6723,(-669837.2237734064-1576133.0290879547j),0j,0j,0j,0j
6724,(1590829.3289333885+872926.8258146243j),0j,0j,0j,0j
6725,(2438414.39177058+373667.3598770929j),0j,0j,0j,0j
6726,(-168001.64443289733-996953.714668127j),0j,0j,0j,0j
6727,(-3608880.034440198-1294478.5291633834j),0j,0j,0j,0j
6728,(-2110213.465398061-1958941.7470981064j),0j,0j,0j,0j
6729,(-829663.2771741156+1332753.6587937046j),0j,0j,0j,0j
6730,(-578064.5922974974-2002521.9568823297j),0j,0j,0j,0j
6731,(-363155.54365169024+580610.0242520577j),0j,0j,0j,0j
6732,(-1221770.0149325123+926875.5129913484j),0j,0j,0j,0j
6733,(-573428.0187644372+432247.1759948288j),0j,0j,0j,0j
6734,(-1002563.704969429+3312142.891954926j),0j,0j,0j,0j
6735,(-1544959.2935844352+2257336.121441559j),0j,0j,0j,0j
6736,(2040652.172586231-2439585.1281899726j),0j,0j,0j,0j
6737,(-316392.5994943956-1151452.1229611542j),0j,0j,0j,0j
6738,(1006015.0271872017-716737.713036835j),0j,0j,0j,0j
6739,(-316620.8679534764+1726819.3386132529j),0j,0j,0j,0j
6740,(1495478.8424249613-1551077.2326706026j),0j,0j,0j,0j
6741,(576488.5068592557-2273808.0548333745j),0j,0j,0j,0j
6742,(-185725.30975276054-886201.8903264327j),0j,0j,0j,0j
6743,(1012344.7318832314+507310.88623113197j),0j,0j,0j,0j
6744,(-701189.7013394046-368137.5197588897j),0j,0j,0j,0j
6745,(-782731.2612065375+2493045.492104048j),0j,0j,0j,0j
6746,(-134521.03207574418-1445498.3364536443j),0j,0j,0j,0j
6747,(3384594.585312972-559803.3584024345j),0j,0j,0j,0j
6748,(-2095853.6037054136+1564856.1740832925j),0j,0j,0j,0j
6749,(322425.29845843243+1941146.0193577916j),0j,0j,0j,0j
6750,(-1601659.7693345216+1277005.3893129132j),0j,0j,0j,0j
6751,(936317.3868184289+773503.8197821747j),0j,0j,0j,0j
6752,(-2000809.834823493+1789185.712140371j),0j,0j,0j,0j
6753,(1025791.9779744088+235568.44604118913j),0j,0j,0j,0j
6754,(251833.30838881113-145021.2496588024j),0j,0j,0j,0j
6755,(-1477700.467069071-1777939.6531960596j),0j,0j,0j,0j
6756,(-234630.9470168691-893302.3914771229j),0j,0j,0j,0j
6757,(3277982.836178294+189493.7736354766j),0j,0j,0j,0j
6758,(-1204270.3326534103-710500.6617946504j),0j,0j,0j,0j
6759,(-105323.16162236172-2079974.5087609037j),0j,0j,0j,0j
6760,(-4801047.734156305-2020651.7295282881j),0j,0j,0j,0j
6761,(406853.83630144445-134449.23667729218j),0j,0j,0j,0j
6762,(1290834.734780984-1423001.2692193838j),0j,0j,0j,0j
6763,(656649.4596149066-1078846.4115309955j),0j,0j,0j,0j
6764,(-1194277.5473959646+390118.06281657255j),0j,0j,0j,0j
6765,(-1971020.8178811392-99461.3955703867j),0j,0j,0j,0j
6766,(234892.49067983008-101664.71319347945j),0j,0j,0j,0j
6767,(1753727.4428634767+2665266.352180825j),0j,0j,0j,0j
6768,(139417.39554226003+377890.83109046944j),0j,0j,0j,0j
6769,(748114.1523317216+1154925.4027361588j),0j,0j,0j,0j
6770,(448509.1952024442+1738501.2796042056j),0j,0j,0j,0j
6771,(-39622.912403233-196962.41650301128j),0j,0j,0j,0j
6772,(-135552.7491219053+547270.0928031551j),0j,0j,0j,0j
6773,(-250158.66304239517+27.083444222342223j),0j,0j,0j,0j
6774,(-443565.9913392868+3295175.3642731514j),0j,0j,0j,0j
6775,(1859301.356374725-692657.5869199437j),0j,0j,0j,0j
6776,(891626.0908235571+1329222.805974836j),0j,0j,0j,0j
6777,(1313399.3967465935-1909866.6113230595j),0j,0j,0j,0j
6778,(669118.9628922744-472927.9982887771j),0j,0j,0j,0j
6779,(-1349139.590257099+455053.8668633407j),0j,0j,0j,0j
6780,(-1549771.447693231+394840.8376475035j),0j,0j,0j,0j
6781,(-1264729.1131341285+558633.6290428275j),0j,0j,0j,0j
6782,(1428173.5582969994+2222302.284952986j),0j,0j,0j,0j
6783,(-170967.29221695976-44448.7194607555j),0j,0j,0j,0j
6784,(112802.31440522848-2476285.7681925027j),0j,0j,0j,0j
6785,(-570288.3517478482-2346321.7523164474j),0j,0j,0j,0j
6786,(-206524.94527746306-970534.19491354j),0j,0j,0j,0j
6787,(358676.51989617216+1712367.0647393228j),0j,0j,0j,0j
6788,(-2078792.7169278767-627757.268756248j),0j,0j,0j,0j
6789,(-9865.93014460645-1741392.4062160738j),0j,0j,0j,0j
6790,(622015.3225802847-1863883.0646291878j),0j,0j,0j,0j
6791,(-940307.8295512593-1619927.5989404279j),0j,0j,0j,0j
6792,(382464.79143237276-437133.9928670556j),0j,0j,0j,0j
6793,(-833576.4908487919-834574.265341128j),0j,0j,0j,0j
6794,(-967106.320557797-286808.01180014864j),0j,0j,0j,0j
6795,(626185.782878966+1163957.4572034949j),0j,0j,0j,0j
6796,(303179.48529405764+370804.96191806253j),0j,0j,0j,0j
6797,(-1521348.8199262146-653980.7596737709j),0j,0j,0j,0j
6798,(1233494.9730288694-840524.9048253843j),0j,0j,0j,0j
6799,(-248703.46302920813+1224735.8479792676j),0j,0j,0j,0j
6800,(1066685.57998394+969298.3441468403j),0j,0j,0j,0j
6801,(-2207425.76403449-1658247.8046520525j),0j,0j,0j,0j
6802,(-1108669.9026705807-1935912.2790619526j),0j,0j,0j,0j
6803,(1858402.557271346+3653466.1459432403j),0j,0j,0j,0j
6804,(834778.4269938457-1122365.4353696648j),0j,0j,0j,0j
6805,(-1325051.135567625+252517.00022315414j),0j,0j,0j,0j
6806,(-645045.985504905+719863.4104407532j),0j,0j,0j,0j
6807,(-2786057.729528255-2444848.40325024j),0j,0j,0j,0j
6808,(-608035.9591186177-189387.6610302484j),0j,0j,0j,0j
6809,(3534248.0732807154-253201.7199682126j),0j,0j,0j,0j
6810,(-865065.3775935146-144742.86057736786j),0j,0j,0j,0j
6811,(1325502.4932120545-273464.0353672509j),0j,0j,0j,0j
6812,(-89965.87319169403-924583.8441796252j),0j,0j,0j,0j
6813,(-393706.5701526665+1454986.2782101175j),0j,0j,0j,0j
6814,(-3519736.8715898646-526322.9727841081j),0j,0j,0j,0j
6815,(-306588.6267261895-1322944.2846706815j),0j,0j,0j,0j
6816,(-974155.005584013+1146597.8051477096j),0j,0j,0j,0j
6817,(-990515.0001707496+564211.2752509634j),0j,0j,0j,0j
6818,(1263629.2594418519+47365.88870187849j),0j,0j,0j,0j
6819,(2883135.285813034+2967773.6248083473j),0j,0j,0j,0j
6820,(83604.6335394301-1713888.2937936939j),0j,0j,0j,0j
6821,(-1771068.023652892-956154.4391761285j),0j,0j,0j,0j
6822,(-1614007.307091798-3057810.6857127016j),0j,0j,0j,0j
6823,(1296003.8873969154+1254805.2797641442j),0j,0j,0j,0j
6824,(3321249.683939125+1776750.2616798347j),0j,0j,0j,0j
6825,(2010565.6338176075+2575769.118398405j),0j,0j,0j,0j
6826,(-48335.95366616521+122450.42175093765j),0j,0j,0j,0j
6827,(1621650.6772559904-141512.75582489045j),0j,0j,0j,0j
6828,(227953.11457676865-365458.4741014778j),0j,0j,0j,0j
6829,(1013968.6490809511-1621236.0721312752j),0j,0j,0j,0j
6830,(-1330839.2636930451+496940.43756782485j),0j,0j,0j,0j
6831,(1037527.0649813357+1230766.1286433744j),0j,0j,0j,0j
6832,(922024.9345310687-185071.14602348514j),0j,0j,0j,0j
6833,(-3150969.513883887+271592.92255765235j),0j,0j,0j,0j
6834,(-1608104.0865681556-3107566.6203744253j),0j,0j,0j,0j
6835,(-233940.15545263782+1535035.3949537682j),0j,0j,0j,0j
6836,(-1717417.459226281-2688717.2764809593j),0j,0j,0j,0j
6837,(-750446.6356480666-1120528.279497399j),0j,0j,0j,0j
6838,(1076911.095921751+1168837.847284208j),0j,0j,0j,0j
6839,(688062.9276182629-96681.74878744257j),0j,0j,0j,0j
6840,(-873065.6782183724+1405607.8159865832j),0j,0j,0j,0j
6841,(-726746.7831713969-2374511.7724536057j),0j,0j,0j,0j
6842,(-2343748.936785098+189130.84918388887j),0j,0j,0j,0j
6843,(-1957757.4540837323+405558.6233365753j),0j,0j,0j,0j
6844,(1768817.7435547851-1539311.4787998798j),0j,0j,0j,0j
6845,(-462655.6700480799+1512820.7042366192j),0j,0j,0j,0j
6846,(-2156340.8502842574-2052916.3064765683j),0j,0j,0j,0j
6847,(378908.35077005555-469665.95965433226j),0j,0j,0j,0j
6848,(9519.623587703623+3682559.7463757284j),0j,0j,0j,0j
6849,(1563097.9252441823-130142.1062065183j),0j,0j,0j,0j
6850,(-353954.7337259822-2883686.548445593j),0j,0j,0j,0j
6851,(-597344.488187199+754552.5943605573j),0j,0j,0j,0j
6852,(723653.7065570788-798281.4490735692j),0j,0j,0j,0j
6853,(-2214261.789785986-1058939.71982017j),0j,0j,0j,0j
6854,(954353.7089023073-1492016.4770463924j),0j,0j,0j,0j
6855,(271739.240053157+167086.1062801443j),0j,0j,0j,0j
6856,(-539515.1316097435+1003598.7838575075j),0j,0j,0j,0j
6857,(927434.0588418727-1474116.623901754j),0j,0j,0j,0j
6858,(-1379245.7886720933-3697333.042261838j),0j,0j,0j,0j
6859,(572261.9034879709+1141588.9310164258j),0j,0j,0j,0j
6860,(1502654.0438414572+2030956.66761652j),0j,0j,0j,0j
6861,(1064485.822300855-2257915.914956619j),0j,0j,0j,0j
6862,(1297869.5886244164-576589.2973054433j),0j,0j,0j,0j
6863,(638368.0378350923+198313.64469056312j),0j,0j,0j,0j
6864,(-1092335.3945996352+129161.38128353975j),0j,0j,0j,0j
6865,(-1142335.9786496821-286086.8966835742j),0j,0j,0j,0j
6866,(2586840.8485355494+1480453.070184894j),0j,0j,0j,0j
6867,(-319121.8322369654+1172353.2496969937j),0j,0j,0j,0j
6868,(-347313.966732705-1344956.5745177707j),0j,0j,0j,0j
6869,(-1872329.123646616-556143.8786117958j),0j,0j,0j,0j
6870,(171045.17427254986-84847.56824164116j),0j,0j,0j,0j
6871,(-16287.266780795413-731773.8253179109j),0j,0j,0j,0j
6872,(319659.4833434154+1276165.368456894j),0j,0j,0j,0j
6873,(330461.063549667+1052138.0921953751j),0j,0j,0j,0j
6874,(-107368.84296022437+2677904.877988723j),0j,0j,0j,0j
6875,(-3928066.5804521777-2837224.213844037j),0j,0j,0j,0j
6876,(-160723.9459556389-985494.9955117087j),0j,0j,0j,0j
6877,(152751.91431933455-882399.0183693112j),0j,0j,0j,0j
6878,(591901.5961962224+1464005.6663812147j),0j,0j,0j,0j
6879,(-1336295.5264206363-1447394.173518674j),0j,0j,0j,0j
6880,(1617605.4386104676+1369810.1384366527j),0j,0j,0j,0j
6881,(-1753494.030605568+41318.07792308461j),0j,0j,0j,0j
6882,(-1361389.440903781-529750.9678969646j),0j,0j,0j,0j
6883,(2578314.333220828-297185.34841257375j),0j,0j,0j,0j
6884,(-960733.1414513595-1465241.1528180991j),0j,0j,0j,0j
6885,(-1540677.6382623701+49704.37607300264j),0j,0j,0j,0j
6886,(-128062.67285735148+3555373.339583477j),0j,0j,0j,0j
6887,(78028.28129927511-1128867.1883087666j),0j,0j,0j,0j
6888,(-1535242.7468756498+1451596.6271181686j),0j,0j,0j,0j
6889,(-3975399.9039138453-1553929.6459868876j),0j,0j,0j,0j
6890,(-79792.04819134684+2876078.747820818j),0j,0j,0j,0j
6891,(1772697.5001957482-1738418.1925548995j),0j,0j,0j,0j
6892,(150861.57243584684-729897.1320600564j),0j,0j,0j,0j
6893,(-4570863.700723718+1283412.9304622167j),0j,0j,0j,0j
6894,(-1344553.2229599212-1665019.2977556197j),0j,0j,0j,0j
6895,(-981434.511666296-777704.195255448j),0j,0j,0j,0j
6896,(1671728.921879028+2482292.886220892j),0j,0j,0j,0j
6897,(792449.8563052521+1309803.120149765j),0j,0j,0j,0j
6898,(119510.69060873426+581723.5830691716j),0j,0j,0j,0j
6899,(1426867.0956430687-1613337.26280487j),0j,0j,0j,0j
6900,(1315438.8437320592+3970534.350280696j),0j,0j,0j,0j
6901,(990945.810610513-502659.4498334483j),0j,0j,0j,0j
6902,(61408.7037789498+304532.01989634987j),0j,0j,0j,0j
6903,(-28716.870922833972-1842355.3827267655j),0j,0j,0j,0j
6904,(-459900.6403422188+2746124.419650092j),0j,0j,0j,0j
6905,(-1049416.206631747-1430502.2911596592j),0j,0j,0j,0j
6906,(-376258.3463367494+1866339.340506154j),0j,0j,0j,0j
6907,(-1131845.5669583485+700715.6163672714j),0j,0j,0j,0j
6908,(-1113139.3184364946-1456805.8731493826j),0j,0j,0j,0j
6909,(196077.05998144497-948773.9023773425j),0j,0j,0j,0j
6910,(-2696703.375180523-3657365.4876013654j),0j,0j,0j,0j
6911,(-805.3375019270461+1369546.7217035869j),0j,0j,0j,0j
6912,(-2245338.8683549967+3861941.6583037795j),0j,0j,0j,0j
6913,(592813.1383472795-1186970.778747751j),0j,0j,0j,0j
6914,(259038.68180058058-451898.2517343386j),0j,0j,0j,0j
6915,(3228884.763768574-3265836.616749401j),0j,0j,0j,0j
6916,(847181.9228085931+4065429.693822828j),0j,0j,0j,0j
6917,(750087.0200662569-1201601.0192560095j),0j,0j,0j,0j
6918,(-1589897.2296870686-1390814.6301881205j),0j,0j,0j,0j
6919,(-979253.8770920372-151658.11968380108j),0j,0j,0j,0j
6920,(909443.6317316007-2231035.273204242j),0j,0j,0j,0j
6921,(570217.7645736987-982193.2750603678j),0j,0j,0j,0j
6922,(-50394.042337761726-1376205.2720384793j),0j,0j,0j,0j
6923,(1239634.7438053172+60320.58204332498j),0j,0j,0j,0j
6924,(2195315.2557848375+514247.50030697713j),0j,0j,0j,0j
6925,(-1536972.057995181+506453.0719485888j),0j,0j,0j,0j
6926,(-1598336.9552302747+553100.7840330774j),0j,0j,0j,0j
6927,(-990315.6790775901-525988.7315460553j),0j,0j,0j,0j
6928,(-441476.3063246301+1149632.618575494j),0j,0j,0j,0j
6929,(-552162.0768928424+3011224.9707954926j),0j,0j,0j,0j
6930,(325486.810481661+658552.8009864109j),0j,0j,0j,0j
6931,(1842354.9308400974-1090978.0944314855j),0j,0j,0j,0j
6932,(392819.05037312215+740935.2450754205j),0j,0j,0j,0j
6933,(-452458.5367626816-556711.9711573843j),0j,0j,0j,0j
6934,(784152.8929675323+301953.9997417728j),0j,0j,0j,0j
6935,(-768926.2709653354-1282143.5767552676j),0j,0j,0j,0j
6936,(1935036.3808504688+567700.5928277489j),0j,0j,0j,0j
6937,(-2137435.7759501077-2171323.196919823j),0j,0j,0j,0j
6938,(940572.0711903528+1063522.5340970648j),0j,0j,0j,0j
6939,(1022121.0013855861+89824.8811992351j),0j,0j,0j,0j
6940,(-1146438.6634728478+3077566.0913074547j),0j,0j,0j,0j
6941,(870868.5750804613-391510.52479606355j),0j,0j,0j,0j
6942,(-235569.3845242816+2524064.226891573j),0j,0j,0j,0j
6943,(1520765.0162994536+1264822.6003189215j),0j,0j,0j,0j
6944,(-1871877.2192844204+703993.700472849j),0j,0j,0j,0j
6945,(1151483.9681620619-1332628.5905800466j),0j,0j,0j,0j
6946,(57678.53211835679-637573.1212757183j),0j,0j,0j,0j
6947,(1122191.9289441318-384102.93182233453j),0j,0j,0j,0j
6948,(-502510.8254729114+17140.09142489877j),0j,0j,0j,0j
6949,(-129871.7741712844-3045299.416242213j),0j,0j,0j,0j
6950,(1873999.6277663927-1740597.147406558j),0j,0j,0j,0j
6951,(1540513.6277938508+239558.95778701873j),0j,0j,0j,0j
6952,(1108295.2120220363-1680864.0722646746j),0j,0j,0j,0j
6953,(212073.86836224594-2776379.504491368j),0j,0j,0j,0j
6954,(395631.2943238039+1484060.7136071734j),0j,0j,0j,0j
6955,(282429.2313364553-1160834.6467517521j),0j,0j,0j,0j
6956,(-100322.52338156736+1882762.692446152j),0j,0j,0j,0j
6957,(1331598.7191100474-566678.5264262513j),0j,0j,0j,0j
6958,(-1676126.1369247576+441667.21891693916j),0j,0j,0j,0j
6959,(966590.1962298487+1765351.6554640566j),0j,0j,0j,0j
6960,(-803015.1475501524+1005955.0319004977j),0j,0j,0j,0j
6961,(-1372845.5116540599+2075299.4270385082j),0j,0j,0j,0j
6962,(19954.415731632675+1118938.6406648634j),0j,0j,0j,0j
6963,(-310345.56491215655+60812.60256556992j),0j,0j,0j,0j
6964,(-1434662.097926477-1526655.9828115364j),0j,0j,0j,0j
6965,(3215580.2233559093-623010.0822085824j),0j,0j,0j,0j
6966,(-308749.8755159063+440629.84098109836j),0j,0j,0j,0j
6967,(-406220.61108663643+151141.62774340317j),0j,0j,0j,0j
6968,(-117267.29670118366+288146.83942061034j),0j,0j,0j,0j
6969,(-2929631.3456173264-774389.7858778032j),0j,0j,0j,0j
6970,(1795371.356932233+223070.04042893136j),0j,0j,0j,0j
6971,(489149.30719455786+761391.2201790141j),0j,0j,0j,0j
6972,(143053.4114349627+2142433.9434326645j),0j,0j,0j,0j
6973,(-144584.09847901447+1536327.9576120812j),0j,0j,0j,0j
6974,(674731.441165947-184725.8793969428j),0j,0j,0j,0j
6975,(-2234098.610623151-1517692.6876835974j),0j,0j,0j,0j
6976,(-298514.10307534796-821175.7456604163j),0j,0j,0j,0j
6977,(-1419909.7765678628+101246.8709411188j),0j,0j,0j,0j
6978,(-409760.4155170906+1843050.6087697062j),0j,0j,0j,0j
6979,(1407609.8456971373+929831.0409803421j),0j,0j,0j,0j
6980,(-1576150.3059620713+1024601.0097688821j),0j,0j,0j,0j
6981,(-679458.1334961299-1944093.3578794128j),0j,0j,0j,0j
6982,(-709409.9517850054-878005.648988277j),0j,0j,0j,0j
6983,(1267806.94052209+1460390.4214601642j),0j,0j,0j,0j
6984,(2989330.5862164563-793474.1672693546j),0j,0j,0j,0j
6985,(-297492.45048580616+726433.684093562j),0j,0j,0j,0j
6986,(-1387725.3722932898-2788605.001489175j),0j,0j,0j,0j
6987,(2288115.221252153-440386.27510934696j),0j,0j,0j,0j
6988,(780527.8656965559+1110689.111643219j),0j,0j,0j,0j
6989,(-65327.463027236634-220601.2440294068j),0j,0j,0j,0j
6990,(-91448.68877962272+542016.7716151377j),0j,0j,0j,0j
6991,(-704415.4051659793-883649.4301681541j),0j,0j,0j,0j
6992,(-574098.2499570304-1619358.5944261765j),0j,0j,0j,0j
6993,(-596583.1072329795+2076248.1052437103j),0j,0j,0j,0j
6994,(-884874.7238090838-1651892.889093365j),0j,0j,0j,0j
6995,(-984642.2870493741-1621358.2911940888j),0j,0j,0j,0j
6996,(-1107205.708935126+1279379.6849835513j),0j,0j,0j,0j
6997,(-1624101.260882894+1620626.356200854j),0j,0j,0j,0j
6998,(269953.4197100306-1138141.8937898513j),0j,0j,0j,0j
6999,(-491389.4126259856+1918527.279054671j),0j,0j,0j,0j
7000,(-673628.9187712297-1059821.4140980623j),0j,0j,0j,0j
7001,(480890.30073044635-1155321.1068504823j),0j,0j,0j,0j
7002,(1636958.2934044327+1556379.7355630277j),0j,0j,0j,0j
7003,(184859.27498201805+1630958.9387937128j),0j,0j,0j,0j
