Magnitude,Cleaned,Frequency [1/hour],intraday,overnight,monthly,seasonal
0,0,0,0,0,0,0
2632657166.64322,0,1.14153947999416E-05,0,0,0,0
2360940114.3619,0,2.28307895998832E-05,0,0,0,0
2119786750.23211,0,3.42461843998249E-05,0,0,0,0
1171850987.17511,0,4.56615791997665E-05,0,0,0,0
1170116869.55331,0,5.70769739997081E-05,0,0,0,0
562761254.740753,0,6.84923687996497E-05,0,0,0,0
561842171.545878,0,7.99077635995913E-05,0,0,0,0
1456180912.83518,0,9.13231583995329E-05,0,0,0,0
1259641112.83171,0,0.000102738553199475,0,0,0,0
6035644994.27555,6035644994.27555,0.000114153947999416,0,0,0,10859728411.3432
1322879502.92492,0,0.000125569342799358,0,0,0,10859728411.3432
1640056260.94883,0,0.000136984737599299,0,0,0,10859728411.3432
977174452.055188,0,0.000148400132399241,0,0,0,10859728411.3432
1169725618.51593,0,0.000159815527199183,0,0,0,10859728411.3432
522785857.134438,0,0.000171230921999124,0,0,0,10859728411.3432
1035952851.94512,0,0.000182646316799066,0,0,0,10859728411.3432
620178079.723425,0,0.000194061711599008,0,0,0,10859728411.3432
1212013062.33454,0,0.000205477106398949,0,0,0,10859728411.3432
1294145168.01475,0,0.000216892501198891,0,0,0,10859728411.3432
4533304004.81022,0,0.000228307895998832,0,0,0,10859728411.3432
932599573.390486,0,0.000239723290798774,0,0,0,10859728411.3432
1273023604.08944,0,0.000251138685598716,0,0,0,10859728411.3432
106934587.112557,0,0.000262554080398657,0,0,0,10859728411.3432
828467750.600235,0,0.000273969475198599,0,0,0,10859728411.3432
288814734.42105,0,0.00028538486999854,0,0,0,10859728411.3432
706644511.77175,0,0.000296800264798482,0,0,0,10859728411.3432
1244745223.94692,0,0.000308215659598424,0,0,0,10859728411.3432
667586834.41982,0,0.000319631054398365,0,0,0,10859728411.3432
923117314.354759,0,0.000331046449198307,0,0,0,10859728411.3432
1079368377.39637,0,0.000342461843998249,0,0,0,10859728411.3432
140698727.604708,0,0.00035387723879819,0,0,0,10859728411.3432
216314360.936526,0,0.000365292633598132,0,0,0,10859728411.3432
847480806.586306,0,0.000376708028398073,0,0,0,10859728411.3432
533278468.242863,0,0.000388123423198015,0,0,0,10859728411.3432
680698637.858951,0,0.000399538817997957,0,0,0,10859728411.3432
133710011.032247,0,0.000410954212797898,0,0,0,10859728411.3432
401857911.422914,0,0.00042236960759784,0,0,0,10859728411.3432
805623443.542731,0,0.000433785002397782,0,0,0,10859728411.3432
920469840.693117,0,0.000445200397197723,0,0,0,10859728411.3432
527661955.552354,0,0.000456615791997665,0,0,0,10859728411.3432
494644771.620391,0,0.000468031186797606,0,0,0,10859728411.3432
500768874.807388,0,0.000479446581597548,0,0,0,10859728411.3432
1598837812.06243,0,0.00049086197639749,0,0,0,10859728411.3432
405921253.257545,0,0.000502277371197431,0,0,0,10859728411.3432
847241300.769614,0,0.000513692765997373,0,0,0,10859728411.3432
219379674.945592,0,0.000525108160797315,0,0,0,10859728411.3432
662523775.952569,0,0.000536523555597256,0,0,0,10859728411.3432
607597199.784649,0,0.000547938950397198,0,0,0,10859728411.3432
490459053.155076,0,0.000559354345197139,0,0,0,10859728411.3432
611704995.971623,0,0.000570769739997081,0,0,0,10859728411.3432
354370449.14132,0,0.000582185134797023,0,0,0,10859728411.3432
747160940.978928,0,0.000593600529596964,0,0,0,10859728411.3432
1015730683.66841,0,0.000605015924396906,0,0,0,10859728411.3432
220514961.872118,0,0.000616431319196847,0,0,0,10859728411.3432
913955991.852567,0,0.000627846713996789,0,0,0,10859728411.3432
299933419.52159,0,0.000639262108796731,0,0,0,10859728411.3432
1227396208.48836,0,0.000650677503596672,0,0,0,10859728411.3432
65358824.2406385,0,0.000662092898396614,0,0,0,10859728411.3432
165687809.827333,0,0.000673508293196556,0,0,0,10859728411.3432
635159187.926319,0,0.000684923687996497,0,0,0,10859728411.3432
219868426.774904,0,0.000696339082796439,0,0,0,10859728411.3432
312305009.898554,0,0.00070775447759638,0,0,0,10859728411.3432
317135729.972069,0,0.000719169872396322,0,0,0,10859728411.3432
258024511.69429,0,0.000730585267196264,0,0,0,10859728411.3432
787489805.133722,0,0.000742000661996205,0,0,0,10859728411.3432
489973012.521132,0,0.000753416056796147,0,0,0,10859728411.3432
1003683417.18137,0,0.000764831451596089,0,0,0,10859728411.3432
431550887.396641,0,0.00077624684639603,0,0,0,10859728411.3432
309892766.818099,0,0.000787662241195972,0,0,0,10859728411.3432
120742871.505618,0,0.000799077635995913,0,0,0,10859728411.3432
428123257.482542,0,0.000810493030795855,0,0,0,10859728411.3432
316150386.627487,0,0.000821908425595797,0,0,0,10859728411.3432
862744981.383761,0,0.000833323820395738,0,0,0,10859728411.3432
828781380.571544,0,0.00084473921519568,0,0,0,10859728411.3432
267405493.380371,0,0.000856154609995621,0,0,0,10859728411.3432
845882850.350039,0,0.000867570004795563,0,0,0,10859728411.3432
626936886.336396,0,0.000878985399595505,0,0,0,10859728411.3432
295920263.853927,0,0.000890400794395446,0,0,0,10859728411.3432
476359921.6584,0,0.000901816189195388,0,0,0,10859728411.3432
248977457.530398,0,0.000913231583995329,0,0,0,10859728411.3432
471065595.795604,0,0.000924646978795271,0,0,0,10859728411.3432
604440510.757606,0,0.000936062373595213,0,0,0,10859728411.3432
674380571.96992,0,0.000947477768395154,0,0,0,10859728411.3432
461441173.211136,0,0.000958893163195096,0,0,0,10859728411.3432
530578874.390928,0,0.000970308557995038,0,0,0,10859728411.3432
592781128.983799,0,0.000981723952794979,0,0,0,10859728411.3432
1014276356.38035,0,0.000993139347594921,0,0,0,10859728411.3432
143816271.893347,0,0.00100455474239486,0,0,0,10859728411.3432
749648359.695339,0,0.0010159701371948,0,0,0,10859728411.3432
853639949.166388,0,0.00102738553199475,0,0,0,10859728411.3432
834588932.383687,0,0.00103880092679469,0,0,0,10859728411.3432
685765993.936957,0,0.00105021632159463,0,0,0,10859728411.3432
