longterm,seasonal,monthly,overnight,intraday,Original
70.5113039655383,186.23032661923,0,257.676957992972,50.2044114222599,564.623
67.1165020962354,186.322847144466,0,198.846727866579,75.1629228927197,527.449
62.4246765960066,186.4153427067,0,141.730113509465,100.774867187828,491.345
56.7967326888182,186.507813258349,0,90.2195178003985,122.385936252434,455.91
50.3791563648847,186.600258751839,0,47.8253027116687,135.828282171608,420.633
43.5338041503647,186.692679139611,0,17.4365639418195,138.222952768204,385.886
37.9971093174356,186.785074374119,0,1.12424381825075,126.727572490195,352.634
35.1543690919433,186.877444407828,0,0,95.8621865002288,317.894
32.5393321218705,186.969789193218,0,14.1404478453805,47.5284308395305,281.178
24.113242749209,187.062108682782,0,42.5819392019243,14.6747093660845,268.432
18.3533824863889,187.154402829025,0,83.3862334354697,6.91998124911686,295.814
19.2173960706227,187.246671584464,0,133.772585326285,25.3283470186281,365.565
20.2822749423271,187.338914901632,0,190.307248260396,53.9085618956451,451.837
17.5885239327974,187.431132733073,0,249.137478386789,83.0668649473411,537.224
16.1270623741037,187.523325031345,0,306.254092743903,110.751519850649,620.656
18.9030203168794,187.615491749018,0,357.764688452969,133.697799481133,697.981
24.8129760485684,187.707632838677,0,400.158903541699,143.559487571056,756.239
40.3927150075328,187.799748252918,0,430.547642311548,133.660894428001,792.401
48.6198122865724,187.891837944352,0,446.859962435117,104.921387333959,788.293
51.7607120721793,187.983901865602,0,447.984206253368,67.6911798088517,755.42
53.7160681993921,188.075939969305,0,433.843758407987,37.3992334233161,713.035
55.223152104848,188.167952208111,0,405.402267051443,22.6066286355975,671.4
55.6917594707133,188.259938534684,0,364.597972817898,22.8473291767044,631.397
52.3069588750476,188.351898901701,0,314.211620927082,35.2805212961694,590.151
51.5225156013342,188.44383326185,0,257.676957992972,55.921693143843,553.565
50.0982715142809,188.535741567837,0,198.846727866579,80.6262590513031,518.107
47.7321209979302,188.627623772377,0,141.730113509465,105.266141720227,483.356
44.6885673637489,188.719479828202,0,90.2195178003985,125.365435007651,448.993
40.3289456667377,188.811309688054,0,47.8253027116687,137.001441933539,413.967
34.4987321011284,188.903113304691,0,17.4365639418195,137.565590652361,378.404
27.4637879714328,188.994890630884,0,1.12424381825075,124.470077579432,342.053
19.6395072467537,189.086641619417,0,5.82076609134674E-14,92.4358511338291,301.162
10.7966080456219,189.178366223088,0,14.1404478453805,43.4865778859098,257.602
0,183.284037034923,0,42.5819392019243,10.6010237631528,236.467
0,169.280648874162,0,83.3862334354697,3.34111769036873,256.008
0,158.785643280882,0,133.772585326285,22.6427713928327,315.201
0,139.575538430131,0,190.307248260396,52.3432133094732,382.226
0,144.206807816534,0,249.137478386789,82.6647137966779,476.009
0,108.395362658878,0,306.254092743903,111.390544597219,526.04
0,65.6716151759013,0,357.764688452969,135.133696371129,558.57
0,43.5205250201986,0,400.158903541699,145.483571438102,589.163
0,35.6062399586504,0,430.547642311548,135.760117729802,601.914
0,24.3184999243491,0,446.859962435117,106.930537640534,578.109
0,21.5744938378874,0,447.984206253368,69.427299908745,538.986
0,21.4315351193724,0,433.843758407987,38.7747064726403,494.05
0,21.3279745586272,0,405.402267051443,23.6197583899295,450.35
0,20.3931981095414,0,364.597972817898,23.5558290725607,408.547
0,18.7757246010747,0,314.211620927082,35.764654471843,368.752
0,16.365669526864,0,257.676957992972,56.2473724801639,330.29
0,13.2979417785856,0,198.846727866579,80.8163303548356,292.961
0,9.35334738615007,0,141.730113509465,105.287539104385,256.371
0,4.79571299593948,0,90.2195178003985,125.134769203662,220.15
0,0,0,46.8223091381689,136.408690861831,183.231
0,0,0,9.41283087430234,136.510169125697,145.923
0,0,0,0,107.822,107.822
0,0,0,0,64.9679999999998,64.968
0,0,0,0,19.5499999999999,19.55
0,0,0,0,3.63199999999972,3.632
0,0,0,20.6215899741855,1.11141002581462,21.733
0,0,0,76.8470847760468,21.0209152239534,97.868
0,0,0,149.9614592723,51.6705407277005,201.632
0,0,0,215.670416589089,83.1915834109115,298.862
0,0,0,272.923323271312,113.217676728688,386.141
0,0,0,327.103192218339,138.172807781661,465.276
0,0,0,373.288445821353,149.446554178647,522.735
0,0,0,416.854242357018,140.181757642983,557.036
0,5.74428878013478,0,446.859962435117,111.223748784749,563.828
0,15.8883356015598,0,447.984206253368,72.9644581450725,536.837
0,17.2302327661141,0,433.843758407987,40.9830088258984,492.057
0,18.1687454254432,0,405.402267051443,24.0759875231135,447.647
0,18.7538383133732,0,364.597972817898,22.0641888687291,405.416
0,18.4762145987346,0,314.211620927082,32.4041644741834,365.092
0,17.1815158836983,0,257.676957992972,51.3785261233297,326.237
0,14.684129666116,0,198.846727866579,75.0441424673048,288.575
0,10.5520783536909,0,141.730113509465,99.3838081368443,251.666
0,4.86183490282719,0,90.2195178003985,119.930647296774,215.012
0,0,0,44.9936096722003,132.6723903278,177.666
0,0,0,5.16265194182957,134.829348058171,139.992
0,0,0,0,101.41,101.41
0,0,0,0,57.844,57.844
0,0,0,0,11.4680000000001,11.468
0,0,0,0,6.52700000000004,6.527
0,0,0,6.56216304139528,7.93083695860472,14.493
0,0,0,17.9163418491434,27.3596581508565,45.276
0,0,0,81.2486248153692,56.633375184631,137.882
0,0,0,160.459675633501,86.0683243664988,246.528
0,0,0,241.585244186409,113.588755813591,355.174
0,0,0,280.03668014361,135.97331985639,416.01
0,0,0,306.943812825952,144.977187174048,451.921
0,0,0,333.013714808483,134.066285191517,467.08
0,0,0,343.094241241894,104.317758758106,447.412
0,0,0,340.396137266821,66.2308627331792,406.627
